LAMMPS data file via POLY

8140 atoms
1 atom types

0.00000000 100.00000000 xlo xhi
0.00000000 50.00000000 ylo yhi
0.00000000 30.00000000 zlo zhi

Masses

  1 30.973762


Atoms

  118 1 33.79511357 5.79074696 22.65796644
  119 1 33.79511357 5.79074696 25.21062192
  120 1 33.79511357 5.79074696 27.76327740
  121 1 32.23233036 4.22717857 0.96039486
  122 1 32.23233036 4.22717857 3.51305034
  123 1 32.23233036 4.22717857 6.06570582
  124 1 32.23233036 4.22717857 8.61836130
  125 1 32.23233036 4.22717857 11.17101678
  126 1 32.23233036 4.22717857 13.72367226
  127 1 32.23233036 4.22717857 16.27632774
  128 1 32.23233036 4.22717857 18.82898322
  129 1 32.23233036 4.22717857 21.38163870
  130 1 32.23233036 4.22717857 23.93429418
  131 1 32.23233036 4.22717857 26.48694966
  132 1 32.23233036 4.22717857 29.03960514
  133 1 30.66954714 2.66361018 2.23672260
  134 1 30.66954714 2.66361018 4.78937808
  135 1 30.66954714 2.66361018 7.34203356
  136 1 30.66954714 2.66361018 9.89468904
  137 1 30.66954714 2.66361018 12.44734452
  138 1 30.66954714 2.66361018 15.00000000
  139 1 30.66954714 2.66361018 17.55265548
  140 1 30.66954714 2.66361018 20.10531096
  141 1 30.66954714 2.66361018 22.65796644
  142 1 30.66954714 2.66361018 25.21062192
  143 1 30.66954714 2.66361018 27.76327740
  144 1 29.10676392 1.10004179 0.96039486
  145 1 29.10676392 1.10004179 3.51305034
  146 1 29.10676392 1.10004179 6.06570582
  147 1 29.10676392 1.10004179 8.61836130
  148 1 29.10676392 1.10004179 11.17101678
  149 1 29.10676392 1.10004179 13.72367226
  150 1 29.10676392 1.10004179 16.27632774
  151 1 29.10676392 1.10004179 18.82898322
  152 1 29.10676392 1.10004179 21.38163870
  153 1 29.10676392 1.10004179 23.93429418
  154 1 29.10676392 1.10004179 26.48694966
  155 1 29.10676392 1.10004179 29.03960514
  156 1 48.99065480 23.94221596 2.23672260
  157 1 48.99065480 23.94221596 4.78937808
  158 1 48.99065480 23.94221596 7.34203356
  159 1 48.99065480 23.94221596 9.89468904
  160 1 48.99065480 23.94221596 12.44734452
  161 1 48.99065480 23.94221596 15.00000000
  162 1 48.99065480 23.94221596 17.55265548
  163 1 48.99065480 23.94221596 20.10531096
  164 1 48.99065480 23.94221596 22.65796644
  165 1 47.42787159 22.37864757 0.96039486
  166 1 47.42787159 22.37864757 3.51305034
  167 1 47.42787159 22.37864757 6.06570582
  168 1 47.42787159 22.37864757 8.61836130
  169 1 47.42787159 22.37864757 11.17101678
  170 1 47.42787159 22.37864757 13.72367226
  171 1 47.42787159 22.37864757 16.27632774
  172 1 47.42787159 22.37864757 18.82898322
  173 1 47.42787159 22.37864757 21.38163870
  174 1 47.42787159 22.37864757 23.93429418
  175 1 45.86508837 20.81507917 2.23672260
  176 1 45.86508837 20.81507917 4.78937808
  177 1 45.86508837 20.81507917 7.34203356
  178 1 45.86508837 20.81507917 9.89468904
  179 1 45.86508837 20.81507917 12.44734452
  180 1 45.86508837 20.81507917 15.00000000
  181 1 45.86508837 20.81507917 17.55265548
  182 1 45.86508837 20.81507917 20.10531096
  183 1 45.86508837 20.81507917 22.65796644
  184 1 45.86508837 20.81507917 25.21062192
  185 1 44.30230515 19.25151078 0.96039486
  186 1 44.30230515 19.25151078 3.51305034
  187 1 44.30230515 19.25151078 6.06570582
  188 1 44.30230515 19.25151078 8.61836130
  189 1 44.30230515 19.25151078 11.17101678
  190 1 44.30230515 19.25151078 13.72367226
  191 1 44.30230515 19.25151078 16.27632774
  192 1 44.30230515 19.25151078 18.82898322
  193 1 44.30230515 19.25151078 21.38163870
  194 1 44.30230515 19.25151078 23.93429418
  195 1 44.30230515 19.25151078 26.48694966
  196 1 42.73952194 17.68794239 2.23672260
  197 1 42.73952194 17.68794239 4.78937808
  198 1 42.73952194 17.68794239 7.34203356
  199 1 42.73952194 17.68794239 9.89468904
  200 1 42.73952194 17.68794239 12.44734452
  201 1 42.73952194 17.68794239 15.00000000
  202 1 42.73952194 17.68794239 17.55265548
  203 1 42.73952194 17.68794239 20.10531096
  204 1 42.73952194 17.68794239 22.65796644
  205 1 42.73952194 17.68794239 25.21062192
  206 1 42.73952194 17.68794239 27.76327740
  207 1 41.17673872 16.12437400 0.96039486
  208 1 41.17673872 16.12437400 3.51305034
  209 1 41.17673872 16.12437400 6.06570582
  210 1 41.17673872 16.12437400 8.61836130
  211 1 41.17673872 16.12437400 11.17101678
  212 1 41.17673872 16.12437400 13.72367226
  213 1 41.17673872 16.12437400 16.27632774
  214 1 41.17673872 16.12437400 18.82898322
  215 1 41.17673872 16.12437400 21.38163870
  216 1 41.17673872 16.12437400 23.93429418
  217 1 41.17673872 16.12437400 26.48694966
  218 1 41.17673872 16.12437400 29.03960514
  219 1 39.61395550 14.56080561 2.23672260
  220 1 39.61395550 14.56080561 4.78937808
  221 1 39.61395550 14.56080561 7.34203356
  222 1 39.61395550 14.56080561 9.89468904
  223 1 39.61395550 14.56080561 12.44734452
  224 1 39.61395550 14.56080561 15.00000000
  225 1 39.61395550 14.56080561 17.55265548
  226 1 39.61395550 14.56080561 20.10531096
  227 1 39.61395550 14.56080561 22.65796644
  228 1 39.61395550 14.56080561 25.21062192
  229 1 39.61395550 14.56080561 27.76327740
  230 1 38.05117228 12.99723721 0.96039486
  231 1 38.05117228 12.99723721 3.51305034
  232 1 38.05117228 12.99723721 6.06570582
  233 1 38.05117228 12.99723721 8.61836130
  234 1 38.05117228 12.99723721 11.17101678
  235 1 38.05117228 12.99723721 13.72367226
  236 1 38.05117228 12.99723721 16.27632774
  237 1 38.05117228 12.99723721 18.82898322
  238 1 38.05117228 12.99723721 21.38163870
  239 1 38.05117228 12.99723721 23.93429418
  240 1 38.05117228 12.99723721 26.48694966
  241 1 38.05117228 12.99723721 29.03960514
  242 1 36.48838907 11.43366882 2.23672260
  243 1 36.48838907 11.43366882 4.78937808
  244 1 36.48838907 11.43366882 7.34203356
  245 1 36.48838907 11.43366882 9.89468904
  246 1 36.48838907 11.43366882 12.44734452
  247 1 36.48838907 11.43366882 15.00000000
  248 1 36.48838907 11.43366882 17.55265548
  249 1 36.48838907 11.43366882 20.10531096
  250 1 36.48838907 11.43366882 22.65796644
  251 1 36.48838907 11.43366882 25.21062192
  252 1 36.48838907 11.43366882 27.76327740
  253 1 34.92560585 9.87010043 0.96039486
  254 1 34.92560585 9.87010043 3.51305034
  255 1 34.92560585 9.87010043 6.06570582
  256 1 34.92560585 9.87010043 8.61836130
  257 1 34.92560585 9.87010043 11.17101678
  258 1 34.92560585 9.87010043 13.72367226
  259 1 34.92560585 9.87010043 16.27632774
  260 1 34.92560585 9.87010043 18.82898322
  261 1 34.92560585 9.87010043 21.38163870
  262 1 34.92560585 9.87010043 23.93429418
  263 1 34.92560585 9.87010043 26.48694966
  264 1 34.92560585 9.87010043 29.03960514
  265 1 33.36282263 8.30653204 2.23672260
  266 1 33.36282263 8.30653204 4.78937808
  267 1 33.36282263 8.30653204 7.34203356
  268 1 33.36282263 8.30653204 9.89468904
  269 1 33.36282263 8.30653204 12.44734452
  270 1 33.36282263 8.30653204 15.00000000
  271 1 33.36282263 8.30653204 17.55265548
  272 1 33.36282263 8.30653204 20.10531096
  273 1 33.36282263 8.30653204 22.65796644
  274 1 33.36282263 8.30653204 25.21062192
  275 1 33.36282263 8.30653204 27.76327740
  276 1 31.80003942 6.74296365 0.96039486
  277 1 31.80003942 6.74296365 3.51305034
  278 1 31.80003942 6.74296365 6.06570582
  279 1 31.80003942 6.74296365 8.61836130
  280 1 31.80003942 6.74296365 11.17101678
  281 1 31.80003942 6.74296365 13.72367226
  282 1 31.80003942 6.74296365 16.27632774
  283 1 31.80003942 6.74296365 18.82898322
  284 1 31.80003942 6.74296365 21.38163870
  285 1 31.80003942 6.74296365 23.93429418
  286 1 31.80003942 6.74296365 26.48694966
  287 1 31.80003942 6.74296365 29.03960514
  288 1 30.23725620 5.17939525 2.23672260
  289 1 30.23725620 5.17939525 4.78937808
  290 1 30.23725620 5.17939525 7.34203356
  291 1 30.23725620 5.17939525 9.89468904
  292 1 30.23725620 5.17939525 12.44734452
  293 1 30.23725620 5.17939525 15.00000000
  294 1 30.23725620 5.17939525 17.55265548
  295 1 30.23725620 5.17939525 20.10531096
  296 1 30.23725620 5.17939525 22.65796644
  297 1 30.23725620 5.17939525 25.21062192
  298 1 30.23725620 5.17939525 27.76327740
  299 1 28.67447298 3.61582686 0.96039486
  300 1 28.67447298 3.61582686 3.51305034
  301 1 28.67447298 3.61582686 6.06570582
  302 1 28.67447298 3.61582686 8.61836130
  303 1 28.67447298 3.61582686 11.17101678
  304 1 28.67447298 3.61582686 13.72367226
  305 1 28.67447298 3.61582686 16.27632774
  306 1 28.67447298 3.61582686 18.82898322
  307 1 28.67447298 3.61582686 21.38163870
  308 1 28.67447298 3.61582686 23.93429418
  309 1 28.67447298 3.61582686 26.48694966
  310 1 28.67447298 3.61582686 29.03960514
  311 1 27.11168976 2.05225847 2.23672260
  312 1 27.11168976 2.05225847 4.78937808
  313 1 27.11168976 2.05225847 7.34203356
  314 1 27.11168976 2.05225847 9.89468904
  315 1 27.11168976 2.05225847 12.44734452
  316 1 27.11168976 2.05225847 15.00000000
  317 1 27.11168976 2.05225847 17.55265548
  318 1 27.11168976 2.05225847 20.10531096
  319 1 27.11168976 2.05225847 22.65796644
  320 1 27.11168976 2.05225847 25.21062192
  321 1 27.11168976 2.05225847 27.76327740
  322 1 48.55836386 26.45800103 2.23672260
  323 1 48.55836386 26.45800103 4.78937808
  324 1 48.55836386 26.45800103 7.34203356
  325 1 48.55836386 26.45800103 9.89468904
  326 1 48.55836386 26.45800103 12.44734452
  327 1 48.55836386 26.45800103 15.00000000
  328 1 48.55836386 26.45800103 17.55265548
  329 1 48.55836386 26.45800103 20.10531096
  330 1 48.55836386 26.45800103 22.65796644
  331 1 46.99558065 24.89443264 0.96039486
  332 1 46.99558065 24.89443264 3.51305034
  333 1 46.99558065 24.89443264 6.06570582
  334 1 46.99558065 24.89443264 8.61836130
